data_type,regime,Xdim,ydim,nsamples,learning_algo,lr,update_noise,label_noise,loss,active,active_units,log_tau,eig_sum,eig_max,eig_nonzero,link,sim_len
random,lazy,5,11,12,SGD,0.1,0.015264179671752334,0.0,-2.8587151690902917,0.09330855018587363,0.3107692307692308,-6.16744648046716,0.9214292169649061,1.0915191263740394,0.13823529411764707,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/10/\plot.html,9999999
predictive,lazy,14,11,12,SGD,0.1,0.0,0.11513953993264472,-2.9358450266331375,0.688544891640867,0.9756097560975611,-6.680738406144876,0.19433116216769827,0.26255000873266804,0.4296551724137931,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/100/\plot.html,9999999
smoothed,lazy,15,13,9,SGD,0.1,0.023299518105153717,0.0,-3.0367867617073494,0.054360465116279066,0.04838709677419356,-5.877993083365074,0.19915846498161555,1.1049281880100994,0.024,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/102/\plot.html,9999999
random,rich,10,14,5,SGD,0.1,0.0,0.47148663634573934,-1.709275018072437,0.47186147186147187,0.8405797101449275,-5.096102243323114,0.2518174209575911,0.38731128575807766,0.30483999999999994,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/103/\plot.html,9999999
random,lazy,2,2,13,SGD,0.1,0.06866488450042998,0.0,-1.7299012915422365,0.04930555555555556,0.08333333333333336,-1.744429219565124,0.6021716048466441,0.6898025547352596,0.049,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/104/\plot.html,9999999
smoothed,rich,14,17,8,SGD,0.1,0.0,0.3237457542817644,-2.020878459232225,0.6339425587467362,0.8734177215189871,-5.609948965537916,0.149032762296101,0.4778449200465665,0.36671875,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/105/\plot.html,9999999
smoothed,rich,11,19,17,SGD,0.1,0.013894954943731374,0.0,-3.3515207448574165,0.06353187042842215,0.062499999999999986,-5.486391965700803,0.25813219302471074,1.031726556481081,0.03425806451612904,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/106/\plot.html,9999999
smoothed,lazy,6,1,9,SGD,0.1,0.028117686979742307,0.0,-4.291714524653203,0.019477911646586347,0.023943661971830985,0.0,0.17472095240298813,0.2224764998260016,0.009625000000000003,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/107/\plot.html,9999999
predictive,rich,2,19,10,SGD,0.1,0.010481131341546858,0.0,-3.8886944194761743,0.09909090909090909,0.2571428571428572,-3.3904178263099825,0.9241568149380088,0.6697567731997285,0.1,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/108/\plot.html,9999999
random,lazy,14,12,12,SGD,0.1,0.018420699693267165,0.0,-2.0714126480221147,0.046153846153846156,0.1463414634146342,-5.6378972126933595,1.2494493208461372,1.4355687558531778,0.08918518518518517,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/109/\plot.html,9999999
predictive,lazy,12,1,9,SGD,0.1,0.0,0.3906939937054617,-1.8903071490273884,0.5134146341463415,0.9841269841269841,-19.46425893576856,0.32546371557544546,0.39628254050692824,0.33104,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/11/\plot.html,9999999
predictive,lazy,4,6,6,SGD,0.1,0.04714866363457394,0.0,-2.5291171902333973,0.029220779220779227,0.04545454545454546,-5.416147028667384,0.2142212518863343,0.6742356413678657,0.02422222222222222,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/110/\plot.html,9999999
random,lazy,7,1,3,SGD,0.1,0.0,0.11513953993264472,-1.3760861196398813,0.013333333333333332,0.015384615384615382,0.0,0.24848199666327728,0.25073947750904346,0.0061111111111111106,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/112/\plot.html,9999999
predictive,lazy,9,12,2,SGD,0.1,0.019306977288832496,0.0,-1.5544620894268133,0.021739130434782605,0.018867924528301883,-5.544945412510021,0.11184626063379054,0.6839285906093153,0.007736842105263158,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/114/\plot.html,9999999
random,rich,16,4,15,SGD,0.1,0.013257113655901088,0.0,-3.3982773745462933,0.04272863568215893,0.20253164556962022,-6.119032086006149,0.5630855170432857,0.7093619367411802,0.09414285714285714,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/115/\plot.html,9999999
predictive,rich,16,19,13,SGD,0.1,0.028117686979742307,0.0,-1.5446575468225299,0.026269956458635703,0.03604651162790698,-5.7994041660496105,0.27891185420163367,1.1216336406205194,0.03184848484848485,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/116/\plot.html,9999999
random,lazy,8,17,19,SGD,0.1,0.07196856730011521,0.0,-1.065438872125693,0.022352941176470586,0.012820512820512818,-4.86500780706075,0.21023894469738152,0.8416230539266261,0.00976923076923077,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/117/\plot.html,9999999
random,rich,5,15,12,SGD,0.1,0.0,0.1757510624854792,-2.531844834554386,0.6676806083650191,0.9552238805970147,-2.5512510113897764,0.21939417392859803,0.3331300299058732,0.36271428571428566,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/118/\plot.html,9999999
random,lazy,7,12,16,SGD,0.1,0.0,0.2442053094548651,-2.3278676854446285,0.5804749340369394,0.9875,-16.625194946134584,0.22583645575329295,0.3242805031125667,0.4439,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/119/\plot.html,9999999
random,rich,11,17,5,Adam,0.001,0.0,0.3906939937054617,-1.903362382118555,0.04115226337448559,0.07142857142857144,-4.428263644892932,0.42939671322108075,0.9548831206512588,0.03927586206896552,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/12/\plot.html,9999999
random,lazy,5,6,17,SGD,0.1,0.022229964825261943,0.0,-2.8090802261923256,0.07488425925925926,0.18518518518518512,-6.0049787953201035,0.6593197444832384,0.8285504801822527,0.11158333333333333,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/120/\plot.html,9999999
random,lazy,11,17,16,SGD,0.1,0.0,0.16768329368110083,-2.649030213229088,0.6447368421052633,0.9767441860465117,-16.210888639562178,0.25783811857623323,0.3246854610116486,0.466,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/121/\plot.html,9999999
predictive,rich,7,13,19,SGD,0.1,0.019306977288832496,0.0,-2.538868220948511,0.09776733254994123,0.2465753424657534,-6.259429711851652,0.7230920937224089,0.9554780396587755,0.13806666666666667,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/122/\plot.html,9999999
smoothed,lazy,14,8,17,SGD,0.1,0.015998587196060583,0.0,-3.1848992675119616,0.263625450180072,0.17567567567567566,-6.281008248018042,0.6908246995347916,1.0529098386877846,0.08539130434782609,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/123/\plot.html,9999999
predictive,lazy,18,8,6,SGD,0.1,0.08685113737513525,0.0,-1.6883264840111916,0.01773049645390071,0.014925373134328354,-4.068806753025367,0.7496273611691893,1.031602209112625,0.00791891891891892,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/125/\plot.html,9999999
predictive,rich,19,13,16,SGD,0.1,0.012648552168552958,0.0,-2.8180963273206228,0.06749654218533886,0.15074626865671642,-6.238739546456797,0.5183210045020202,1.0733121806487071,0.07766666666666668,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/128/\plot.html,9999999
random,rich,17,2,19,SGD,0.1,0.014563484775012436,0.0,-3.56269486301255,0.06304878048780488,0.22207792207792204,-6.107769094603718,0.8442385302687062,0.8903262359982546,0.0815,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/13/\plot.html,9999999
smoothed,rich,8,1,14,SGD,0.1,0.0,0.7196856730011519,-1.268251459105604,0.16312247644683714,0.35211267605633806,-1.4331055376447133,0.3621084645729205,0.2608090877476644,0.1306,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/130/\plot.html,9999999
smoothed,lazy,9,15,3,SGD,0.1,0.028117686979742307,0.0,-2.7173643379145815,0.020547945205479447,0.02857142857142857,-5.647301484348362,0.2230547959967758,1.0722727534313437,0.016120000000000002,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/131/\plot.html,9999999
random,rich,5,18,8,SGD,0.1,0.0,0.372759372031494,-1.8436232862975475,0.5393530997304582,0.9090909090909088,-5.990326027950956,0.15782247674048944,0.3478585985220792,0.33066666666666666,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/132/\plot.html,9999999
smoothed,rich,8,5,12,SGD,0.1,0.021209508879201904,0.0,-3.186889620339779,0.05582191780821917,0.04923076923076924,-5.840793004068591,0.3391809969675588,0.7637733721232095,0.026357142857142857,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/135/\plot.html,9999999
predictive,rich,8,8,15,SGD,0.1,0.09540954763499938,0.0,-1.1402432736779822,0.013717421124828532,0.012345679012345677,-4.682902426761099,0.2936922917353009,0.0934992496536454,0.009588235294117646,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/138/\plot.html,9999999
